IP,ip,intellectual,property,safeharbor,trademarks,copyright,copyrights,copyrighted,patent,patents,patented,invention,inventor,invent,infringe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,information,technology,tech,hightech,telephone,wireless,cable,transmissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abortion,abortion,prochoice,parenthood,abortions,pregnancy,fetal,fetus,prolife,partialbirth,pregnancy,contraception,aborting,lateterm,thirdtrimester,womb,fetuses,zygote,life,choice,rape,baby,babies,birth,partial,,,,,,,,,,,,,,,,,,,,,,,,
academic,academic,academies,education,teaching,teach,faculty,university,fellowship,doctoral,biotechnology,cloning,nanotechnology,science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agriculture,agriculture,farm,farming,harvest,harvested,crop,wheat,planting,farmland,dairy,ranch,corn,grazing,grain,milk,livestock,irrigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
business,business,corporation,startup,entrepreneur,estate,antitrust,familyowned,entrepreneurship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
children,children,child,infant,infants,toddler,toddlers,baby,babies,youngster,teenager,teenagers,adolescent,kids,boy,girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
china,tibet,xinjiang,china,beijing,chinese,chinas,taiwanese,prc,prcs,peoplesrepublic,taiwans,taipei,beijings,shanghai,guangzhou,nanjing,wuhan,peking,shenzhen,mainland,tiananmen,,,,,,,,,,,,,,,,,,,,,,,,,,,
commerce,commerce,consumer,customer,retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crime,crime,criminal,recidivism,offenders,felonies,homicide,murder,rape,violent,gang,prison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
culture,culture,cultural,cultures,multiculturalism,tradition,movie,film,art,museum,library,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
homelandsecurity,defense,dod,homeland,DHS,aliens,border,safeguard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
detainee,detainee,detention,interrogation,gitmo,torture,combatant,guantanamo,captives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disadvantaged,disadvantaged,underprivileged,underrepresented,impoverished,needy,wounded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disaster,disaster,earthquake,flood,hurricane,katrina,floods,evacuation,storms,tsunami,fatalities,wildfires,tornado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discrimination,discrimination,africanamericans,nondiscrimination,antidiscrimination,prejudice,intolerance,disparities,sex,race,orientation,antisemitism,gender,fairness,blm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disease,disease,alzheimers,huntingtons,immunodeficiency,cancer,parkinsons,ebola,polio,infection,inflammatory,malaria,virus,covid,coronavirus,pandemic,epidemic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
addictives,drug,crack,heroin,medications,beverages,cigarette,addiction,marijuana,beverage,alcoholic,substances,prescribing,alcoholism,cocaine,steroids,opioid,narcotics,smoke,tobacco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
economy,economy,bailout,economic,depression,growth,recession,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
education,education,students,schools,campuses,teacher,classroom,college,graduation,scholarships,classroom,graduation,curriculum,undergraduate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
environment,environment,pollutant,pollution,spills,emissions,carbon,ozone,conserving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
family,family,mother,marriage,divorced,guardian,widowers,fathers,fatherhood,fide,especially,spouse,divorce,grandparents,unmarried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
federal,federal,lobbying,delegation,balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finance,finance,laundering,debit,refinance,deposits,debt,loans,mortgage,deposit,refunding,borrowers,default,depository,lending,bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fiscal,fiscal,deficit,budgetary,budget,surpluses,revenue,spending,stimulus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food,food,artichokes,beef,dates,dietary,vegetable,nutrient,fruit,meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun,gun,munitions,firearm,semiautomatic,homicide,massacre,automatic,semi,weapon,hunting,ownership,handgun,murder,rifles,assault,arms,firearms,nra,ban,amendment,guns,concealed,weapons,criminal,armed,,,,,,,,,,,,,,,,,,,,,,,
health,health,nurse,transplant,immunosuppressive,psychologist,pathology,therapists,clinical,dialysis,antibiotics,dentists,doctor,vaccination,pandemic,epidemic,coronavirus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
healthcare,healthcare,tricare,medicare,medicaid,copayment,insurance,universial,patient,payer,single,affordable,care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hightech,hightech,aeronautics,nasa,superconducting,collider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housing,housing,homebuyers,rent,homeowner,tenants,homeownership,mortgage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
immigration,immigration,immigrants,nonimmigrant,aliens,refugees,asylum,deportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
industry,industry,rubber,converter,knitting,machines,fabric,pigment,fiberboard,glass,lenses,gouging,bags,boots,fibers,fabrics,shoes,camera,textile,toys,clothes,pants,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyber,information,breaches,cybersecurity,privacy,misinformation,cyberwarfare,intelligence,cyber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infrastructure,infrastructure,traffic,transportation,roads,harbors,bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
international,international,timor,montenegro,democratically,kosova,mongolia,kashmir,yugoslav,greek,armistice,kenya,bulgaria,armenia,cyprus,latvia,belarus,serbia,venezuela,moldova,estonia,cesar,bosnia,estrada,congo,lithuania,haram,azerbaijan,lebanon,minister,ethiopia,ninos,croatia,chavez,philippine,peacekeeping,albania,nicaraguan,somalia,ukraine,sudan,kazakhstan,macedonia,colombia,angola,herzegovina,zimbabwe,honduras,korea
iransyrialibya,iran,syria,libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iraq,iraq,sadam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
israel,israel,palestine,jewish,jerusalem,gaza,hamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jury,jury,judges,conviction,court,defendants,attorneys,inspector,judge,sentencing,attorney,courts,witnesses,justice,prosecutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lgbtq,lgbtq,lgbt,gay,lesbian,bisexual,queer,homosexual,samesex,homophobia,bisexuality,transgender,orientation,marriage,homosexualtiy,sexuality,sexual,orientation,sin,couples,christians,religion,marry,bible,gays,christianity,christian,,,,,,,,,,,,,,,,,,,,,,
media,media,broadcast,cable,audio,radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
militarycomplex,military,naval,war,missiles,troops,enlisted,battle,infantry,ballistic,missile,marines,invade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natives,natives,indians,tribes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nuclear,nuclear,radiation,enrichment,uranium,atomic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
police,police,firefighters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
politicalact,lobbying,fundraising,impeaching,impeachment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
postal,postal,mail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
randd,research,development,biotechnology,nanotechnology,technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
religion,religion,muslims,god,spiritual,jewish,prayer,christianity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renewable,renewable,biofuel,hydropower,solar,greenhouse,warming,clean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reserves,reserves,ecosystems,shore,wilderness,park,wildlife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
russia,russia,soviet,baltic,lithuania,yugoslav,ukraine,russian,putin,yeltsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safety,safety,toxic,contaminant,pesticides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sport,sport,hockey,relay,volleyball,ncaa,football,olympics,championships,basketball,baseball,soccer,bowl,golf,paralympic,tournament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tax,tax,taxexempt,duty,deductibility,dividend,deduct,itemize,relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrorism,terrorism,hezbollah,isis,hamas,taliban,terrorist,killing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trade,trade,nafta,embargo,tariff,wto,antidumping,dutyfree,import,export,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traditionalenergy,traditional,energy,fuels,coal,gas,petroleum,gasoline,minerals,oil,refinery,diesel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
transportation,transportation,vehicle,transit,traffic,aviation,airline,transport,highway,flights,motorcycle,trains,airport,railroads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veteran,veteran,prisonerofwar,sacrifice,memorials,cemeteries,veterans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vietnam,vietnam,vietnamese,communist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vote,vote,presidential,elections,campaign,ballot,voters,electoral,delegates,polls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waste,waste,recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
welfare,welfare,compensable,retirement,employerprovided,earnings,pension,retiree,earning,wage,salary,relief,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
woman,woman,sex,offender,rape,pregnancy,breastfeeding,women,maternal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
workforce,workforce,hired,nondiscrimination,unemployment,reemployment,selfemployment,singleemployer,contractor,unemployed,jobs,layoff,jobless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
